"{""uniqueID"":85211,""completion_code"":""RZd3g-#-Y2dZo"",""demographics"":""country=United States of America___gender=female___race=white___age=46"",""experiment"":""guess-who-pilot"",""boardNumber"":1,""condition"":""highly_variable"",""actionType"":""questionAsked"",""question"":""thin?"",""questionResponse"":""No"",""finalSelection"":""NA"",""questionNumber"":4,""totalFaceCount"":16,""facesEliminatedCount"":0,""eliminatedFaces"":"""",""allFaces"":""IMG_7927__IMG_9725__IMG_9770__IMG_9634__IMG_8228__IMG_9334__IMG_8289__IMG_9394__IMG_0214__IMG_7988__IMG_0491__IMG_0341__IMG_8243__IMG_9018__IMG_0138__IMG_9649"",""currentFacesEliminatedCount"":0}"	2017-04-27T19:25:12	4503908059709440
"{""uniqueID"":63063,""completion_code"":""kE2lR-#-wVVHE"",""demographics"":""country=United States of America___gender=male___race=white___age=29"",""experiment"":""guess-who-pilot"",""boardNumber"":4,""condition"":""white_female_only"",""actionType"":""finalFaceSelected"",""question"":""NA"",""questionResponse"":""NA"",""finalSelection"":""IMG_0656"",""questionNumber"":3,""totalFaceCount"":16,""facesEliminatedCount"":16,""eliminatedFaces"":""IMG_9318__IMG_8874__IMG_0048__IMG_0108__IMG_7836__IMG_0446__IMG_0416__IMG_8859__IMG_0671__IMG_0656__IMG_0521__IMG_8682__IMG_9228__IMG_7821__IMG_9846__IMG_8844"",""allFaces"":""IMG_9318__IMG_8874__IMG_0048__IMG_0108__IMG_7836__IMG_0446__IMG_0416__IMG_8859__IMG_0671__IMG_0656__IMG_0521__IMG_8682__IMG_9228__IMG_7821__IMG_9846__IMG_8844"",""currentFacesEliminatedCount"":1}"	2017-04-27T19:29:17	4505156687233024
"{""uniqueID"":31386,""completion_code"":""8jjzq-#-r02Vx"",""demographics"":""country=United States of America___gender=male___race=Asian___age=32"",""experiment"":""guess-who-pilot"",""boardNumber"":2,""condition"":""male_only"",""actionType"":""finalFaceSelected"",""question"":""NA"",""questionResponse"":""NA"",""finalSelection"":""IMG_9957"",""questionNumber"":4,""totalFaceCount"":16,""facesEliminatedCount"":16,""eliminatedFaces"":""IMG_8003__IMG_8289__IMG_9559__IMG_8532__IMG_0551__IMG_0214__IMG_9364__IMG_9108__IMG_7806__IMG_9514__IMG_7700__IMG_0138__IMG_0371__IMG_0078__IMG_8547__IMG_9957"",""allFaces"":""IMG_8003__IMG_8289__IMG_9559__IMG_8532__IMG_0551__IMG_0214__IMG_9364__IMG_9108__IMG_7806__IMG_9514__IMG_7700__IMG_0138__IMG_0371__IMG_0078__IMG_8547__IMG_9957"",""currentFacesEliminatedCount"":1}"	2017-04-27T19:33:17	4505196549898240
"{""uniqueID"":27947,""completion_code"":""GIIWh-#-26cHy"",""demographics"":""country=United States of America___gender=male___race=Asian___age=25"",""experiment"":""guess-who-pilot"",""boardNumber"":2,""condition"":""white_female_only"",""actionType"":""questionAsked"",""question"":""Is the person's hair long?"",""questionResponse"":""No"",""finalSelection"":""NA"",""questionNumber"":3,""totalFaceCount"":16,""facesEliminatedCount"":12,""eliminatedFaces"":""IMG_9891__IMG_0153__IMG_9846__IMG_8502__IMG_8198__IMG_7836__IMG_8682__IMG_0108__IMG_8814__IMG_0048__IMG_9619__IMG_0656"",""allFaces"":""IMG_9891__IMG_0153__IMG_0446__IMG_9484__IMG_9846__IMG_8502__IMG_8198__IMG_7836__IMG_8682__IMG_0108__IMG_8814__IMG_0048__IMG_9318__IMG_9619__IMG_9138__IMG_0656"",""currentFacesEliminatedCount"":4}"	2017-04-27T19:26:54	4505600813694976
"{""uniqueID"":4193,""completion_code"":""RhSub-#-t6jim"",""demographics"":""country=United States of America___gender=female___race=caucasion___age=25"",""experiment"":""guess-who-pilot"",""boardNumber"":4,""condition"":""asian_female_only"",""actionType"":""questionAsked"",""question"":""does the person have a ponytail?"",""questionResponse"":""No"",""finalSelection"":""NA"",""questionNumber"":2,""totalFaceCount"":16,""facesEliminatedCount"":15,""eliminatedFaces"":""IMG_9078__IMG_8697__IMG_9574__IMG_7715__IMG_9906__IMG_9409__IMG_0310__IMG_0325__IMG_7866__IMG_9977__IMG_0746__IMG_0716__IMG_8934__IMG_9273__IMG_9927"",""allFaces"":""IMG_9078__IMG_8697__IMG_9574__IMG_7715__IMG_9906__IMG_9409__IMG_0310__IMG_8667__IMG_0325__IMG_7866__IMG_9977__IMG_0746__IMG_0716__IMG_8934__IMG_9273__IMG_9927"",""currentFacesEliminatedCount"":2}"	2017-04-27T19:25:43	4505826702131200
"{""uniqueID"":1140,""completion_code"":""1CUDe-#-ZebM6"",""demographics"":""country=United States of America___gender=female___race=asian___age=30"",""experiment"":""guess-who-pilot"",""boardNumber"":2,""condition"":""asian_male_only"",""actionType"":""questionAsked"",""question"":""am I able to see the word 'new' on his shirt from the picture?"",""questionResponse"":""Yes"",""finalSelection"":""NA"",""questionNumber"":5,""totalFaceCount"":16,""facesEliminatedCount"":14,""eliminatedFaces"":""IMG_7942__IMG_7806__IMG_9710__IMG_9048__IMG_0701__IMG_7882__IMG_9514__IMG_0566__IMG_0401__IMG_9634__IMG_0641__IMG_9957__IMG_9364__IMG_7700"",""allFaces"":""IMG_7942__IMG_7806__IMG_9710__IMG_9048__IMG_0701__IMG_7882__IMG_9514__IMG_0566__IMG_0401__IMG_9634__IMG_0214__IMG_0641__IMG_0356__IMG_9957__IMG_9364__IMG_7700"",""currentFacesEliminatedCount"":1}"	2017-04-27T19:34:06	4505918104403968
"{""uniqueID"":24339,""completion_code"":""KxjsI-#-an5wo"",""demographics"":""country=United States of America___gender=male___race=white___age=34"",""experiment"":""guess-who-pilot"",""boardNumber"":3,""condition"":""white_female_only"",""actionType"":""questionAsked"",""question"":""does her hair go past her shoulder"",""questionResponse"":""No"",""finalSelection"":""NA"",""questionNumber"":3,""totalFaceCount"":16,""facesEliminatedCount"":15,""eliminatedFaces"":""IMG_7517__IMG_8153__IMG_9861__IMG_7836__IMG_7988__IMG_7608__IMG_8874__IMG_0230__IMG_7912__IMG_9815__IMG_7638__IMG_7730__IMG_8258__IMG_7791__IMG_9499"",""allFaces"":""IMG_7517__IMG_8153__IMG_9861__IMG_7836__IMG_7988__IMG_7608__IMG_0108__IMG_8874__IMG_0230__IMG_7912__IMG_9815__IMG_7638__IMG_7730__IMG_8258__IMG_7791__IMG_9499"",""currentFacesEliminatedCount"":3}"	2017-04-27T19:31:02	4506934132604928
"{""uniqueID"":78278,""completion_code"":""LOG3w-#-KWA1i"",""demographics"":""country=United States of America___gender=male___race=white___age=37"",""experiment"":""guess-who-pilot"",""boardNumber"":3,""condition"":""asian_only"",""actionType"":""questionAsked"",""question"":""is the person male?"",""questionResponse"":""No"",""finalSelection"":""NA"",""questionNumber"":3,""totalFaceCount"":16,""facesEliminatedCount"":10,""eliminatedFaces"":""IMG_0401__IMG_9048__IMG_0641__IMG_0566__IMG_7806__IMG_7927__IMG_9273__IMG_7882__IMG_0356__IMG_9364"",""allFaces"":""IMG_9755__IMG_0401__IMG_9927__IMG_0325__IMG_7851__IMG_9439__IMG_9048__IMG_0641__IMG_0566__IMG_9921__IMG_7806__IMG_7927__IMG_9273__IMG_7882__IMG_0356__IMG_9364"",""currentFacesEliminatedCount"":7}"	2017-04-27T19:28:15	4507240685895680
"{""uniqueID"":42038,""completion_code"":""TARXT-#-bXdVn"",""demographics"":""country=Poland___gender=male___race=Black___age=19"",""experiment"":""guess-who-pilot"",""boardNumber"":4,""condition"":""female_only"",""actionType"":""questionAsked"",""question"":""is the person male?"",""questionResponse"":""No"",""finalSelection"":""NA"",""questionNumber"":1,""totalFaceCount"":16,""facesEliminatedCount"":1,""eliminatedFaces"":""IMG_8108"",""allFaces"":""IMG_9861__IMG_0536__IMG_0169__IMG_8889__IMG_8198__IMG_9078__IMG_9439__IMG_9409__IMG_9891__IMG_8859__IMG_7851__IMG_8834__IMG_8108__IMG_0184__IMG_7715__IMG_9138"",""currentFacesEliminatedCount"":1}"	2017-04-27T19:48:29	4507456239566848
"{""uniqueID"":67950,""completion_code"":""bvVsu-#-hPZk6"",""demographics"":""country=United States of America___gender=male___race=White___age=43"",""experiment"":""guess-who-pilot"",""boardNumber"":2,""condition"":""asian_female_only"",""actionType"":""questionAsked"",""question"":""long hair"",""questionResponse"":""No"",""finalSelection"":""NA"",""questionNumber"":5,""totalFaceCount"":16,""facesEliminatedCount"":9,""eliminatedFaces"":""IMG_9921__IMG_7866__IMG_9273__IMG_9977__IMG_8667__IMG_9755__IMG_8697__IMG_7927__IMG_9439"",""allFaces"":""IMG_9906__IMG_9469__IMG_0310__IMG_7715__IMG_9921__IMG_7866__IMG_9273__IMG_9977__IMG_8667__IMG_9755__IMG_8697__IMG_0491__IMG_0581__IMG_7927__IMG_9439__IMG_8834"",""currentFacesEliminatedCount"":0}"	2017-04-27T19:29:04	4508804322426880
